Class Performance Analysis - PorkChop Ed Tech
Generated: September 26, 2024
Report Period: Fall 2024 Semester

Summary Statistics:
Total Classes,10
Average Score,85.4%
Overall Completion Rate,84.9%
Total Students,200

Detailed Class Data:
Class ID,Class Name,Instructor,Enrollment,Average Score,Completion Rate,Knowledge Gaps,Assignment Timeliness,Department,Semester
CLS001,Fundamentals of Cooking,Chef Martinez,24,82,85,Knife Skills,90,Culinary Arts,Fall 2024
CLS002,Advanced Culinary Techniques,Chef Johnson,18,88,78,Sauce Making,85,Culinary Arts,Fall 2024
CLS003,Baking & Pastry Arts,Chef Williams,22,91,92,Bread Making,95,Baking & Pastry,Fall 2024
CLS004,International Cuisine,Chef Chen,20,85,80,Spice Usage,88,Culinary Arts,Fall 2024
CLS005,Food Safety & Sanitation,Chef Davis,28,94,96,Temperature Control,98,Food Safety,Fall 2024
CLS006,Menu Planning & Costing,Chef Brown,16,79,75,Cost Analysis,82,Business,Fall 2024
CLS007,Restaurant Operations,Chef Wilson,19,83,82,Service Flow,87,Business,Fall 2024
CLS008,Nutrition & Dietary Planning,Chef Anderson,21,87,89,Macro Calculations,91,Nutrition,Fall 2024
CLS009,Culinary Arts Capstone,Chef Taylor,15,90,88,Presentation Skills,93,Culinary Arts,Fall 2024
CLS010,Professional Kitchen Management,Chef Garcia,17,86,84,Team Leadership,89,Management,Fall 2024

Performance Rankings:
Rank,Class Name,Score,Status
1,Food Safety & Sanitation,94,Excellent
2,Baking & Pastry Arts,91,Excellent
3,Culinary Arts Capstone,90,Good
4,Advanced Culinary Techniques,88,Good
5,Nutrition & Dietary Planning,87,Good
6,Professional Kitchen Management,86,Good
7,International Cuisine,85,Satisfactory
8,Restaurant Operations,83,Satisfactory
9,Fundamentals of Cooking,82,Satisfactory
10,Menu Planning & Costing,79,Needs Improvement

Knowledge Gap Analysis:
Gap Area,Classes Affected,Severity,Recommended Action
Knife Skills,3,Medium,Additional practice sessions
Sauce Making,2,High,Dedicated workshop needed
Cost Analysis,1,High,Curriculum revision required
Temperature Control,1,Low,Monitor progress
Spice Usage,1,Medium,Cultural cooking workshop
Bread Making,1,Low,Advanced techniques module
Service Flow,1,Medium,Restaurant simulation exercise
Macro Calculations,1,Medium,Nutrition software training
Presentation Skills,1,Low,Public speaking workshop
Team Leadership,1,Medium,Management skills seminar
