metric,value,change,completion
Total Recipe Views,847,+12%,
Completion Rate,73%,+5%,
Avg Engagement Score,4.2,No change,
Active Recipes,28,+3 new,
Top Recipe - French Knife Skills,,,94%
Top Recipe - Mother Sauces Mastery,,,89%
Top Recipe - Pasta Making Fundamentals,,,76%
Needs Attention - Advanced Plating,,,34%
Needs Attention - Molecular Gastronomy,,,28%
Needs Attention - Sous Vide Precision,,,41%
MyCookBook Module - Total Views,1247,,
MyCookBook Module - Avg Completion,82%,,
CulinarySchool Module - Total Views,892,,
CulinarySchool Module - Avg Completion,65%,,
Chef's Corner Module - Total Views,634,,
Chef's Corner Module - Avg Completion,71%,,
Global Test Kitchen - Active Sessions,3,,
Global Test Kitchen - Avg Participation,45%,,
Peak Usage - 10:00 AM - 12:00 PM,High,,
Peak Usage - 2:00 PM - 4:00 PM,High,,
Peak Usage - 6:00 PM - 8:00 PM,Medium,,
