School_Name,School_Type,Website,Phone,Email,State,Country
Alvin Community College,Community College,https://www.alvincollege.edu/,(281) 756-3500,ltrigo@alvincollege.edu,Texas,USA
Anne Arundel Community College,Community College,https://www.aacc.edu/,410-777-2398,HCAT-1@aacc.edu,Maryland,USA
Oakland Community College,Community College,https://www.oaklandcc.edu/,(248) 246-2500,,Michigan,USA
Orange Coast College,Community College,https://orangecoastcollege.edu/,,,California,USA
Central Arizona College,Community College,https://centralaz.edu/,520-494-5222,amanda.potts@centralaz.edu,Arizona,USA
Northeast Texas Community College,Community College,https://www.ntcc.edu/,903-434-8333,creeves@ntcc.edu,Texas,USA
Community College of Philadelphia,Community College,https://www.ccp.edu/,215-751-8000,,Pennsylvania,USA
Elgin Community College,Community College,https://elgin.edu/,847-214-7900,culinary@elgin.edu,Illinois,USA
Bergen Community College,Community College,https://bergen.edu/,201-879-5003,,New Jersey,USA
Brookdale Community College,Community College,https://www.brookdalecc.edu/,(732) 224-2345,,New Jersey,USA
Scottsdale Community College,Community College,https://www.scottsdalecc.edu/,(480) 423-6269,ashley.holian@scottsdalecc.edu,Arizona,USA
Hillsborough Community College,Community College,https://www.hccfl.edu/,(813) 253-7260,,Florida,USA
Pima Community College,Community College,https://www.pima.edu/,(520) 206-5000,,Arizona,USA
Maricopa Community Colleges,Community College,https://www.maricopa.edu/,(480) 731-8000,,Arizona,USA
Piedmont Virginia Community College,Community College,https://www.pvcc.edu/,(434) 977-3900,,Virginia,USA
Central Virginia Community College,Community College,https://centralvirginia.edu/,434-832-7600,,Virginia,USA
Henry Ford College,Community College,https://www.hfcc.edu/,(313) 206-5101,Henryfordculinary@hfcc.edu,Michigan,USA
Monroe College,Community College,https://www.monroecollege.edu/,(914) 632-5400,,New York,USA
Fayetteville Technical Community College,Community College,https://www.faytechcc.edu/,(910) 678-8400,admissions@faytechcc.edu,North Carolina,USA
Great Lakes Culinary Institute at Northwestern Michigan College,Community College,https://www.nmc.edu/,(231) 995-1054,culinary@nmc.edu,Michigan,USA
Metropolitan Community College,Community College,https://www.mccneb.edu/,(531) 622-2400,info@mccneb.edu,Nebraska,USA
Owens Community College,Community College,https://www.owens.edu/,(567) 429-3500,,Ohio,USA
Columbus State Community College,Community College,https://www.cscc.edu/,(614) 287-5694,hospitality@cscc.edu,Ohio,USA
Holyoke Community College,Community College,https://www.hcc.edu/,413-552-2823,cai@hcc.edu,Massachusetts,USA
Massasoit Community College,Community College,https://massasoit.edu/,(508) 588-9100,studentcentral@massasoit.mass.edu,Massachusetts,USA
Lorain County Community College,Community College,https://www.lorainccc.edu/,(800) 995-5222,info@lorainccc.edu,Ohio,USA
Cuyahoga Community College,Community College,https://www.tri-c.edu/,(800) 954-8742,,Ohio,USA
Sinclair Community College,Community College,https://www.sinclair.edu/,937-512-3796,,Ohio,USA
Cincinnati State Technical and Community College,Community College,https://www.cincinnatistate.edu/,(513) 569-1620,,Ohio,USA
Bunker Hill Community College,Community College,https://www.bhcc.edu/,617-228-2000,,Massachusetts,USA
Pasadena City College,Community College,https://www.pasadena.edu/,,Hospitality@pasadena.edu,California,USA
Seattle Central College,Community College,https://www.seattlecentral.edu/,206-934-5424,SeattleCulinary@seattlecolleges.edu,Washington,USA
Salt Lake Community College,Community College,https://www.slcc.edu/,(801) 957-4073,,Utah,USA
Coastal Carolina Community College,Community College,https://coastalcarolina.edu/,(910) 455-1221,,North Carolina,USA
Caldwell Community College & Technical Institute,Community College,https://cccti.edu/,828-726-2200,,North Carolina,USA
College of Coastal Georgia,Community College,https://www.ccga.edu/,(912) 279-5700,,Georgia,USA
Guilford Technical Community College,Community College,https://www.gtcc.edu/,(336) 334-4822,,North Carolina,USA
Johnson County Community College,Community College,https://www.jccc.edu/,(913) 469-8500,,Kansas,USA
Portland Community College,Community College,https://www.pcc.edu/,(971) 722-6111,,Oregon,USA
Moraine Valley Community College,Community College,https://www.morainevalley.edu/,(708) 974-4300,,Illinois,USA
College of Lake County,Community College,https://www.clcillinois.edu/,(847) 543-2000,,Illinois,USA
Atlantic Cape Community College,Community College,https://www.atlantic.edu/,(609) 343-4900,,New Jersey,USA
Mesa Community College,Community College,https://www.mesacc.edu/,(480) 461-7000,,Arizona,USA
Valencia College,Community College,https://valenciacollege.edu/,407-582-1507,enrollment@valenciacollege.edu,Florida,USA
Broward College,Community College,https://www.broward.edu/,(954) 201-7350,,Florida,USA
Miami Dade College,Community College,https://www.mdc.edu/,,,Florida,USA
San Diego Mesa College,Community College,https://www.sdmesa.edu/,(619) 388-2600,,California,USA
City College of San Francisco,Community College,https://www.ccsf.edu/,(415) 239-3000,,California,USA
Santa Barbara City College,Community College,https://www.sbcc.edu/,(805) 965-0581,,California,USA
Diablo Valley College,Community College,https://www.dvc.edu/,(925) 685-1230,,California,USA
Walnut Hill College,Mid-Market University,https://walnuthillcollege.edu/,(215) 222-4200,,Pennsylvania,USA
Louisiana Culinary Institute,Mid-Market University,https://www.lci.edu/,(225) 769-8820,info@lci.edu,Louisiana,USA
Paul Smith's College,Mid-Market University,https://www.paulsmiths.edu/,518-327-6049,admissions@paulsmiths.edu,New York,USA
Drexel University,Mid-Market University,https://drexel.edu/,(215) 895-2411,,Pennsylvania,USA
Sullivan University,Mid-Market University,https://www.sullivan.edu/,(502) 456-6504,,Kentucky,USA
Institute of Culinary Education,Mid-Market University,https://www.ice.edu/,(888) 354-CHEF,,New York,USA
Kendall College at National Louis University,Mid-Market University,https://www.nl.edu/,(312) 261-3500,,Illinois,USA
Michigan State University,Mid-Market University,https://www.msu.edu/,(517) 355-1855,,Michigan,USA
Penn State University,Mid-Market University,https://www.psu.edu/,(814) 865-5471,,Pennsylvania,USA
Purdue University,Mid-Market University,https://www.purdue.edu/,(765) 494-4600,,Indiana,USA
Cornell University,Mid-Market University,https://www.cornell.edu/,607-255-9393,,New York,USA
University of Nevada Las Vegas,Mid-Market University,https://www.unlv.edu/,702-895-3616,hospitalitycollege@unlv.edu,Nevada,USA
Florida International University,Mid-Market University,https://www.fiu.edu/,(305) 348-2000,,Florida,USA
University of Central Florida,Mid-Market University,https://www.ucf.edu/,(407) 823-2000,,Florida,USA
University of Houston,Mid-Market University,https://www.uh.edu/,(713) 743-2255,,Texas,USA
Virginia Tech,Mid-Market University,https://www.vt.edu/,(540) 231-6000,,Virginia,USA
University of South Florida,Mid-Market University,https://www.usf.edu/,(813) 974-2011,,Florida,USA
Delaware State University,Mid-Market University,https://www.desu.edu/,(302) 857-6351,,Delaware,USA
Boston University,Mid-Market University,https://www.bu.edu/,(617) 353-2000,,Massachusetts,USA
Iowa State University,Mid-Market University,https://www.iastate.edu/,(515) 294-4111,,Iowa,USA
San Diego State University,Mid-Market University,https://www.sdsu.edu/,(619) 594-5200,,California,USA
Culinary Institute of America,Top-Tier Culinary School,https://www.ciachef.edu/,845-452-9600,,,USA
Johnson & Wales University - Providence,Top-Tier Culinary School,https://www.jwu.edu/,1-800-342-5598,providence@admissions.jwu.edu,Rhode Island,USA
Johnson & Wales University - Charlotte,Top-Tier Culinary School,https://www.jwu.edu/,866-598-2427,charlotte@admissions.jwu.edu,North Carolina,USA
Auguste Escoffier School of Culinary Arts - Boulder,Top-Tier Culinary School,https://www.escoffier.edu/,(855) 955-2433,,Colorado,USA
Auguste Escoffier School of Culinary Arts - Austin,Top-Tier Culinary School,https://www.escoffier.edu/,(855) 955-2433,,Texas,USA
Institute of Culinary Education - New York,Top-Tier Culinary School,https://www.ice.edu/,(888) 354-CHEF,,New York,USA
Le Cordon Bleu College of Culinary Arts,Top-Tier Culinary School,https://www.cordonbleu.edu/,,,,International
International Culinary Center - New York,Top-Tier Culinary School,https://www.internationalculinarycenter.com/,(888) 324-CHEF,,New York,USA
Culinary Institute LeNotre - Houston,Top-Tier Culinary School,https://www.culinaryinstitute.edu/,(713) 692-0077,,Texas,USA
Cambridge School of Culinary Arts,Top-Tier Culinary School,https://www.cambridgeculinary.com/,(617) 354-2020,,Massachusetts,USA
Le Cordon Bleu - Paris,Top-Tier Culinary School,https://www.cordonbleu.edu/,+33 (0)1 53 68 22 50,,,France
Le Cordon Bleu - London,Top-Tier Culinary School,https://www.cordonbleu.edu/,+44 (0)20 7400 3900,,,UK
Le Cordon Bleu - Tokyo,Top-Tier Culinary School,https://www.cordonbleu.edu/,+81 3-5414-2660,,,Japan
The Culinary Institute of America - Greystone,Top-Tier Culinary School,https://www.ciachef.edu/,707-967-1100,,California,USA
The Culinary Institute of America - San Antonio,Top-Tier Culinary School,https://www.ciachef.edu/,(210) 554-6400,,Texas,USA
Culinary Arts Academy - Switzerland,Top-Tier Culinary School,https://www.culinaryartsswitzerland.com/,+41 21 965 40 20,,,Switzerland
Apicius International School of Hospitality,Top-Tier Culinary School,https://www.apicius.it/,+39 055 265 8135,,,Italy
ALMA - The International School of Italian Cuisine,Top-Tier Culinary School,https://www.alma.scuolacucina.it/,+39 0521 251 700,,,Italy
Institute Paul Bocuse,Top-Tier Culinary School,https://www.institutpaulbocuse.com/,+33 4 72 18 02 20,,,France
George Brown Chef School - Toronto,Top-Tier Culinary School,https://www.georgebrown.ca/,(416) 415-2000,,,Canada
Pacific Institute of Culinary Arts - Vancouver,Top-Tier Culinary School,https://www.picachef.com/,(604) 734-4488,,,Canada
Westminster Kingsway College - London,Top-Tier Culinary School,https://www.westking.ac.uk/,+44 (0)20 7963 4181,,,UK
Ballymaloe Cookery School,Top-Tier Culinary School,https://www.cookingisfun.ie/,+353 21 464 6785,,,Ireland
At-Sunrice GlobalChef Academy,Top-Tier Culinary School,https://www.at-sunrice.com/,+65 6336 3307,,,Singapore
College of Southern Nevada,Community College,https://www.csn.edu/,(702) 651-5000,,Nevada,USA
Pikes Peak State College,Community College,https://www.pikespeak.edu/,(719) 502-2000,,Colorado,USA
Community College of Denver,Community College,https://www.ccd.edu/,(303) 556-2600,,Colorado,USA
Kapiolani Community College,Community College,https://www.kapiolani.hawaii.edu/,(808) 734-9211,,Hawaii,USA
Maui Culinary Academy - University of Hawaii Maui College,Community College,https://maui.hawaii.edu/,(808) 984-3500,,Hawaii,USA
Leeward Community College,Community College,https://www.leeward.hawaii.edu/,(808) 455-0011,,Hawaii,USA
University of Alaska Anchorage - Culinary Arts & Hospitality,Community College,https://www.uaa.alaska.edu/,(907) 786-1800,,Alaska,USA
Spokane Community College,Community College,https://scc.spokane.edu/,(509) 533-7000,,Washington,USA
Renton Technical College,Community College,https://www.rtc.edu/,(425) 235-2352,,Washington,USA
South Seattle College,Community College,https://southseattle.edu/,(206) 934-5300,,Washington,USA
Lane Community College,Community College,https://www.lanecc.edu/,(541) 463-3000,,Oregon,USA
Chemeketa Community College,Community College,https://www.chemeketa.edu/,(503) 399-5000,,Oregon,USA
Central Oregon Community College,Community College,https://www.cocc.edu/,(541) 383-7700,,Oregon,USA
Lake Tahoe Community College,Community College,https://www.ltcc.edu/,(530) 541-4660,,California,USA
Shasta College,Community College,https://www.shastacollege.edu/,(530) 242-7500,,California,USA
Napa Valley College,Community College,https://www.napavalley.edu/,(707) 253-3000,,California,USA
Laney College,Community College,https://laney.edu/,(510) 834-5740,,California,USA
Los Angeles Trade-Technical College,Community College,https://www.lattc.edu/,(213) 763-7000,,California,USA
Long Beach City College,Community College,https://www.lbcc.edu/,(562) 938-4111,,California,USA
Grossmont College,Community College,https://www.grossmont.edu/,(619) 644-7000,,California,USA
MiraCosta College,Community College,https://www.miracosta.edu/,(760) 757-2121,,California,USA
College of the Desert,Community College,https://www.collegeofthedesert.edu/,(760) 346-8041,,California,USA
Truckee Meadows Community College,Community College,https://www.tmcc.edu/,(775) 673-7000,,Nevada,USA
Arizona Western College,Community College,https://www.azwestern.edu/,(928) 317-6000,,Arizona,USA
Coconino Community College,Community College,https://www.coconino.edu/,(928) 527-1222,,Arizona,USA
Yavapai College,Community College,https://www.yc.edu/,(928) 445-7300,,Arizona,USA
Utah Valley University,Community College,https://www.uvu.edu/,(801) 863-8888,,Utah,USA
Snow College,Community College,https://www.snow.edu/,(435) 283-7000,,Utah,USA
New Mexico State University Doña Ana Community College,Community College,https://dacc.nmsu.edu/,(575) 527-7500,,New Mexico,USA
Central New Mexico Community College,Community College,https://www.cnm.edu/,(505) 224-3000,,New Mexico,USA
Trinidad State College,Community College,https://www.trinidadstate.edu/,(719) 846-5011,,Colorado,USA
Pueblo Community College,Community College,https://www.pueblocc.edu/,(719) 549-3200,,Colorado,USA
Red Rocks Community College,Community College,https://www.rrcc.edu/,(303) 914-6600,,Colorado,USA
Front Range Community College,Community College,https://www.frontrange.edu/,(303) 404-5000,,Colorado,USA
Bismarck State College,Community College,https://bismarckstate.edu/,(701) 224-5400,,North Dakota,USA
Montana State University - Great Falls College,Community College,https://www.gfcmsu.edu/,(406) 771-4300,,Montana,USA
Southeast Community College,Community College,https://www.southeast.edu/,(402) 437-2600,,Nebraska,USA
